UNU_Key,scale,shape
0001,14.21,2
0002,25,2.5
0101,16.07,1.92
0102,17.13,1.79
0103,19.35,2
0104,13.32,1.85
0105,18.08,2.58
0106,13.47,2
0108,16.71,2.2
0109,18.55,1.28
0111,20.6,2
0112,13.36,2.36
0113,15.36,1.6
0114,17.99,2.07
0201,7.97,1.22
0202,11.02,2.02
0203,7.61,1.18
0204,10.59,1.22
0205,8.09,1.2
0301,6.15,1.3
0302,10.33,1.8
0303,8.76,1.94
0304,9.31,1.88
0305,7.7,1.32
0306,5.62,1.52
0307,7.78,1.46
0308,15.94,1.4
0309,12.18,2.3
0401,9.87,1.3
0402,10.01,1.5
0403,10,2.3
0404,8.33,1.14
0405,12.54,1.13
0406,6.75,1.19
0407,12.08,2.49
0408,10.95,1.88
0501,8.72,1.42
0502,8.43,1.6
0503,5.79,1.75
0504,6.9,1.6
0505,10.85,1.36
0506,16.59,2.34
0507,12.5,2
0601,14.98,1.77
0602,15.5,2.5
0701,4.56,1.43
0702,4.78,1.14
0703,11.56,2.4
0801,13.46,1.99
0802,13.52,2.41
0901,5.89,1.55
0902,11.56,1.92
1001,10.06,2
1002,15,2
1102a,15.5,3.6
1106,23,3.3
1101,15.5,3.6
1301,2.3,1.5
0102,12.12,1.64
0105,14.6,2.58
1108,10,1.8
1102,15.5,3.6
0201b,7.97,1.22
0401b,6.15,1.3
1103,15.5,3.6
1201,16.7,1.5
1202,27.1,2.2
1206,13.6,2.7
1107,17,1.8
0802b,14,2.5
1302,7.9,2
1207,23,3.3
1102b,15.5,3.6
0205b,9.5,1.5
0306b,6.26,1.56
1104,15.5,3.6
0405,11.5,1.49
1105,23,3.3
0204,8.7,1.45
0104,13.6,2.2
1205,24.7,3
